OBJECTID,VAR_ROUTE,VAR_IDENT,VAR_DESCR,VAR_DIREC,MetroCategory,MetroBusType,RouteNumber,RouteName,TOOLTIP,NLA_URL
1,2,E1,End-End Local September 2021,2,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
2,2,E2,TO KINGFIG,2,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
3,2,E3,KING JR HIGH,2,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
4,2,E7,HOLLYWOOD HIGH,2,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
5,2,E9,Starts at LECWES,2,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
6,2,EF,FAIRFAX -SUNSET L.O.,2,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
7,2,W1,End-End Local September 2021,3,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
8,2,W2,From KINGFIG,3,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
9,2,W3,Ends at LECWES,3,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
10,2,WA,SHORTLINE TO FAIRFAX L.O,3,LocalCBD,Metro Local and Limited,2,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,2 WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
11,4,E1,NEW 4/704 END TO END - LOCAL,2,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
12,4,E2,NEBSEP Shortline,2,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
13,4,E3,TRIP START SEPSAN,2,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
14,4,E4,OWLS 10PM - 6AM,2,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
15,4,W1,NEW 4/704 END TO END - LOCAL,3,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
16,4,W2,NEBSEP Shortline,3,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
17,4,W3,LATE NIGHT/OWL LINEUP,3,LocalCBD,Metro Local and Limited,4,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL,4 DOWNTOWN LA - SANTA MONICA VIA SANTA MONICA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
