stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1001,1001,"East L.A. College",,34.039463,-118.145211,,,0,,0
1002,1002,"Whittwood Mall 2nd stop",,33.944394,-117.995832,,,0,,0
1003,1003,"Atlantic/Cesar Chavez",,34.037396,-118.146826,,,0,,0
1004,1004,"Whittier/ Santa Gertrudes",,33.944945,-117.994749,,,0,,0
1005,1005,"Atlantic / Pomona",,34.032938,-118.153208,,,0,,0
1006,1006,"Whittier/Scott",,33.946543,-117.999061,,,0,,0
1007,1007,"Atlantic/4th",,34.029632,-118.154591,,,0,,0
1008,1008,"Whittier/Colima",,33.948803,-118.006099,,,0,,0
1009,1009,"Atlantic/Eagle",,34.027325,-118.155311,,,0,,0
1010,1010,"Whittier/Mills",,33.950667,-118.010166,,,0,,0
10100,10100,"Whittier/Garfield",,34.014896,-118.130514,,,0,,0
10101,10101,"Painter/Mar Vista",,33.973779,-118.032791,,,0,,0
10102,10102,"Whittier/Via Del Or",,34.015348,-118.132873,,,0,,0
10103,10103,"Painter/Walnut",,33.971975,-118.032793,,,0,,0
10104,10104,"Whittier/Saybrook",,34.016073,-118.136306,,,0,,0
10105,10105,"Painter/La Cuarta",,33.968849,-118.032577,,,0,,0
10106,10106,"Whittier/Findlay",,34.016726,-118.139424,,,0,,0
10107,10107,"Painter/Russell",,33.965746,-118.032788,,,0,,0
10108,10108,"Whittier/Leonard",,34.017598,-118.143475,,,0,,0
10109,10109,"Whittier/Painter",,33.962836,-118.03248,,,0,,0
1011,1011,"Atlantic/6th",,34.02472,-118.156098,,,0,,0
10110,10110,"Whittier/Keenan",,34.018136,-118.14546,,,0,,0
10111,10111,"Whittier/Laurel",,33.96116,-118.029686,,,0,,0
10112,10112,"Whittier/Gerhart",,34.018485,-118.147541,,,0,,0
10113,10113,"Whittier/Jacmar",,33.959078,-118.02589,,,0,,0
