stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1001,1001,"183rd Street and Alburtis Avenue- N/E Co",,33.865822,-118.084187,,,0,,0
1002,1002,"183rd Street and Alburtis Avenue- S/E Co",,33.865644,-118.083883,,,0,,0
1003,1003,"183rd Street and Best Plaza- N/W Corner",,33.865777,-118.095114,,,0,,0
1004,1004,"183rd Street and Los Cerritos Center- S/",,33.86553,-118.094335,,,0,,0
1005,1005,"183rd Street and Studebaker Road- S/E Co",,33.865494,-118.099091,,,0,,0
1006,1006,"183rd/Gridley",,33.865801,-118.091825,,,0,,0
1007,1007,"Adelfa and Santa Gertrudes",,33.894324,-118.001019,,,0,,0
1008,1008,"Alondra Boulevard and Elmcroft Avenue- N",,33.887681,-118.095826,,,0,,0
1009,1009,"Alondra Boulevard opposite Elmcroft Aven",,33.887432,-118.095207,,,0,,0
1010,1010,"Alondra Boulevard and Graystone Avenue",,33.887696,-118.093853,,,0,,0
1011,1011,"Alondra Boulevard and Gridley Road- N/W ",,33.887705,-118.091418,,,0,,0
1012,1012,"Alondra Boulevard and Madris Avenue - N/",,33.887827,-118.069332,,,0,,0
1013,1013,"Alondra Boulevard and Madris Avenue",,33.887567,-118.069674,,,0,,0
1014,1014,"Alondra Boulevard and Maidstone Avenue-N",,33.887739,-118.086653,,,0,,0
1015,1015,"Alondra/Maidstone",,33.887483,-118.086502,,,0,,0
1016,1016,"Alondra Boulevard and Mc Nab Avenue- N/W",,33.888776,-118.113655,,,0,,0
1017,1017,"Alondra Boulevard and Mc Nab Avenue- S/E",,33.888304,-118.113241,,,0,,0
1018,1018,"Alondra Boulevard and Piuma Avenue- N/W ",,33.887771,-118.106344,,,0,,0
1019,1019,"Alondra Boulevard and Piuma Avenue- S/W ",,33.887503,-118.106277,,,0,,0
1020,1020,"Alondra Boulevard and Studebaker Road- N",,33.887664,-118.099589,,,0,,0
1021,1021,"Alondra Boulevard and Studebaker Road- S",,33.887409,-118.099461,,,0,,0
1022,1022,"Alondra Boulevard opposite Gridley Road",,33.887461,-118.09083,,,0,,0
1023,1023,"Alondra Boulevard opposite Leibacher Ave",,33.887385,-118.102848,,,0,,0
1024,1024,"Beach Boulevard and Fashion Square Lane-",,33.919717,-117.967546,,,0,,0
1025,1025,"Beverley Boulevard and Citrus Avenue",,33.988228,-118.046145,,,0,,0
1026,1026,"Beverley Boulevard and Floral Drive",,33.991674,-118.050489,,,0,,0
1027,1027,"Beverley Boulevard and Pickering Avenue",,33.988231,-118.042369,,,0,,0
1028,1028,"Beverly Boulevard and Citrus Avenue",,33.988071,-118.04582,,,0,,0
1029,1029,"Beverly Boulevard and Floral Drive",,33.991609,-118.050689,,,0,,0
1030,1030,"Beverly Boulevard and Greenleaf Avenue",,33.98801,-118.037248,,,0,,0
1031,1031,"Beverly Boulevard and Greenleaf Avenue",,33.988069,-118.037558,,,0,,0
1032,1032,"Beverly Boulevard and Norwalk Boulevard",,33.998238,-118.055192,,,0,,0
1033,1033,"Beverly Boulevard and Palm Avenue",,33.997761,-118.0545,,,0,,0
1034,1034,"Beverly Boulevard and Pickering Avenue",,33.988068,-118.041812,,,0,,0
1035,1035,"Bloomfield Avenue and Alondra Boulevard",,33.887963,-118.064256,,,0,,0
1036,1036,"Bloomfield Avenue and Alondra Boulevard",,33.888008,-118.063959,,,0,,0
1037,1037,"Bloomfield Avenue and Civic Center Drive",,33.914975,-118.064359,,,0,,0
1038,1038,"Bloomfield Avenue and Anabella Street",,33.914077,-118.064766,,,0,,0
1039,1039,"Bloomfield Avenue and Dante Street",,33.910642,-118.06473,,,0,,0
