stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,215023,"Carson St at Hawthorne Bl",,33.831514,-118.353690,,,,,,2
3,203023,"Torrance Bl at Hawthorne Bl",,33.837439,-118.352653,,,,,,2
4,203025,"Torrance Bl at Amie Av",,33.837372,-118.349603,,,,,,2
5,203026,"Torrance Bl at Madrona Av",,33.837315,-118.344574,,,,,,2
6,203027,"Torrance Bl at Maple Av",,33.836158,-118.340183,,,,,,2
7,203031,"Torrance Bl at Hickory Av",,33.836167,-118.334781,,,,,,2
8,203033,"Torrance Bl at Fern Av",,33.836197,-118.331667,,,,,,2
9,203035,"Torrance Bl at Crenshaw Bl",,33.836219,-118.328244,,,,,,2
10,203037,"Torrance Bl at Madrid Av",,33.836247,-118.325256,,,,,,2
11,203039,"Torrance Bl at Cota Av",,33.836271,-118.322247,,,,,,2
12,203041,"Torrance Bl at Arlington Av",,33.836286,-118.319931,,,,,,2
13,203043,"Torrance Bl at Engracia Av",,33.836211,-118.318306,,,,,,2
14,203045,"Torrance Bl at Cabrillo Av & Van Ness Av",,33.836158,-118.315286,,,,,,2
15,203047,"Torrance Bl at Western Av",,33.838336,-118.308531,,,,,,2
16,203049,"Torrance Bl at Denker Av",,33.841397,-118.304175,,,,,,2
17,203051,"Torrance Bl at Normandie Av",,33.841853,-118.299739,,,,,,2
18,213053,"Carson St at Normandie Av",,33.831433,-118.298681,,,,,,2
19,213055,"Carson St at Budlong Av",,33.831450,-118.295314,,,,,,2
20,213056,"Carson St at Berendo Av",,33.831443,-118.293132,,,,,,2
21,642027,"Vermont Av at Carson St",,33.832462,-118.290175,,,,,,2
22,642029,"Vermont Av at 214th St",,33.834156,-118.290139,,,,,,2
23,642031,"Vermont Av at Javelin St",,33.838658,-118.289931,,,,,,2
24,642033,"Vermont Av at Torrance Bl",,33.841697,-118.289853,,,,,,2
25,642035,"Vermont Av at Del Amo Bl",,33.846578,-118.290244,,,,,,2
26,642037,"Vermont Av at Francisco St",,33.850489,-118.290369,,,,,,2
27,642039,"Vermont Av at Knox St",,33.854072,-118.290375,,,,,,2
